ContractAddress,Past30Days,30-60DaysAgo,MoM,NewMAAs,M2Retention,DailyAverage,DAUMAU,TotalTransactions,GasBurnt,Transactions-30Days,AvgTxnperMAU
Arkana by Paras,2,2,0.00,0,0.00,1.7142857142857142,85.71,3636877,9.428682605423873,82414,41207.00
client-eth2.bridge.near,2,1,100.00,0,0.00,1,50.00,425575,31.53699565750174,6720,3360.00
tekuno.near,2,1,100.00,0,0.00,0.14285714285714285,7.14,341001,0.8278809813727633,349,174.50
mos.mfac.butternetwork.near,2,2,0.00,0,0.00,1.7142857142857142,85.71,238800,0.5861452914772608,4395,2197.50
v1-4.keypom.near,2,2,0.00,0,0.00,2,100.00,194446,0.4884474474378486,1833,916.50
token_receiver.zkrouter.near,2,2,0.00,0,0.00,0.8571428571428571,42.86,144614,0.35114206845980434,3042,1521.00
compliments.laboratory.jumpfinance.near,2,0,0.00,1,0.00,0.42857142857142855,21.43,90555,0.2198780380512308,3470,1735.00
xp-store.wincast.near,2,3,-33.33,0,66.67,1,50.00,87839,0.2134554006937073,3623,1811.50
congratulations.laboratory.jumpfinance.near,2,0,0.00,2,0.00,0.5714285714285714,28.57,46746,0.1135045393498038,3454,1727.00
congrats.laboratory.jumpfinance.near,2,0,0.00,2,0.00,0.5714285714285714,28.57,42025,0.1020413371439428,3516,1758.00
switchboard-v2.near,1,2,-50.00,0,0.00,0,0.00,8917904,23.855583733982357,96316,96316.00
eth-client.zkrouter.near,1,1,0.00,0,0.00,1,100.00,812752,31.16748368998792,14142,14142.00
account_creator.near,1,1,0.00,0,0.00,1,100.00,473734,1.2514969948850072,5897,5897.00
tx_check.near,1,1,0.00,0,0.00,1,100.00,390588,0.08717241736380993,5735,5735.00
Cosmose AI - Preprod,1,2,-50.00,0,0.00,0,0.00,270878,5.214868363527679,1,1.00
esealpinner.near,1,1,0.00,0,0.00,1,100.00,168304,0.40863357804500966,2435,2435.00
compliment.laboratory.jumpfinance.near,1,0,0.00,1,0.00,0.2857142857142857,28.57,111530,0.2708075770786201,3444,3444.00
lockup-meta-pool.near,1,3,-66.67,0,0.00,1,100.00,60148,0.14597209794910032,2379,2379.00
heronear.near,1,0,0.00,1,0.00,0.8571428571428571,85.71,55069,0.15665506999925244,3044,3044.00
linear-staging.near,1,4,-75.00,0,0.00,1,100.00,50070,0.1215751234182601,52,52.00
5gkxs1jc.01.near,1,1,0.00,0,0.00,1,100.00,42822,0.009557123691374975,717,717.00
dsra5mfh.01.near,1,1,0.00,0,0.00,1,100.00,42248,0.009429016900499973,718,718.00
v1.contract.hooh_official.near,0,1,-100.00,0,0.00,0,0.00,385820,1.0297628702155877,0,0.00
alpha-x.raddx.near,0,13,-100.00,0,0.00,0,0.00,374279,0.9911890362457542,0,0.00
d4c7a1a0-6c56-11ee-8ec4-9756198e9c93.thelittles.near,0,1,-100.00,0,0.00,0,0.00,290793,1.2140455628911808,0,0.00
cars.cryptodeveloper.near,0,701,-100.00,0,0.00,0,0.00,184100,0.6854696059248749,0,0.00
nft.triathlon.near,0,4,-100.00,0,0.00,0,0.00,52822,0.2645283817270507,0,0.00
nearx-price-feed.stader-labs.near,0,0,0.00,0,0.00,0,0.00,52123,0.12655367295987263,0,0.00
