,activity_date,total_supply,total_locked,foundation_locked,lockups_locked_tokens,total_unlocked,total_staked,total_liquid,pct_stake_change
24,2020-11-06,1002980738.645088,642494844.1476568,164714740.00892875,642494844.1476568,195771154.48850247,291420446.0910788,-95649291.60257635,3.7934982292494652
25,2020-11-07,1003113259.3180516,642068772.4896184,164714740.00892875,642068772.4896184,196329746.81950453,292258231.3080009,-95928484.4884964,0.28665923733699117
26,2020-11-08,1003248211.7790307,641650489.791477,164714740.00892875,641650489.791477,196882981.97862494,292412321.4374374,-95529339.45881248,0.052696182116747536
27,2020-11-09,1003452265.180985,641227293.9802788,164710578.2409077,641227293.9802788,197514392.95979843,295054061.49368596,-97539668.53388754,0.8953410242431374
28,2020-11-10,1003588392.1243125,641246874.42277,164241195.55613318,641246874.42277,198100322.14540935,292969507.02306753,-94869184.87765819,-0.7115260874075489
29,2020-11-11,1003792647.9880432,640827478.2531718,164241195.55613318,640827478.2531718,198723974.17873824,297671908.3001088,-98947934.12137055,1.5797262509233292
30,2020-11-12,1003927176.4490753,640408070.7716578,164241195.55613318,640408070.7716578,199277910.12128428,298896309.75740546,-99618399.63612118,0.4096408745529345
31,2020-11-13,1004055612.9383183,635688671.414676,164241195.55613318,635688671.414676,204125745.96750912,298548063.5354081,-94422317.56789896,-0.11664661893078687
32,2020-11-14,1004251856.2677566,635269270.1885997,164241195.55613318,635269270.1885997,204741390.5230237,304402407.30764896,-99661016.78462526,1.9232251886641905
33,2020-11-15,1004382737.3180418,634849865.9607123,164241195.55613318,634849865.9607123,205291675.80119637,303888145.70373917,-98596469.9025428,-0.16922726706528124
34,2020-11-16,1004587091.8493203,634430462.6040988,164241195.55613318,634430462.6040988,205915433.6890883,305290550.0832758,-99375116.39418748,0.4593671108241324
35,2020-11-17,1004723252.2831286,634025434.5693946,164225607.31422767,634025434.5693946,206472210.39950633,303003705.8128965,-96531495.41339016,-0.7547248520423722
36,2020-11-18,1004859510.8452768,633605999.7350061,164225607.31422767,633605999.7350061,207027903.7960431,306121811.1346614,-99093907.33861828,1.0185831941237495
37,2020-11-19,1005054882.2087219,633186564.3511492,164225607.31422767,633186564.3511492,207642710.54334503,290319158.2226171,-82676447.67927206,-5.443200169355265
38,2020-11-20,1005181580.0115428,632767125.3849319,164225607.31422767,632767125.3849319,208188847.3123832,293468134.6946519,-85279287.3822687,1.0730215991972187
39,2020-11-21,1005312251.8929831,632347688.4551482,164225607.31422767,632347688.4551482,208738956.1236072,294405172.95788884,-85666216.83428165,0.31828186095458477
